Program Type,Total Facilities,Total Capacity,year
Licensed Day Care Home,2945,29421,2017
Group Day Care Home,1301,15602,2017
Preschool,170,3626,2017
Child Care Center,604,48441,2017
Head Start Center,50,1883,2017
School Age Programs for Children and Youth,379,30775,2017
Drop In Program for School Age Children and Youth,43,8615,2017
Child Care Resource and Referral Agency,8,NA,2017
Licensed Day Care Home,2686,26841,2018
Group Day Care Home,1322,15846,2018
Preschool,157,3329,2018
Child Care Center,609,48824,2018
Head Start Center,51,1969,2018
School Age Programs for Children and Youth,368,31057,2018
Drop In Program for School Age Children and Youth,46,9067,2018
Child Care Resource and Referral Agency,8,0,2018
Licensed Day Care Home,2330,23280,2019
Group Day Care Home,1279,15337,2019
Preschool,141,3178,2019
Child Care Center,627,50096,2019
Head Start Center,48,1822,2019
School Age Programs for Children and Youth,364,31125,2019
Drop In Program for School Age Children and Youth,53,9935,2019
Child Care Resource and Referral Agency,8,0,2019
Licensed Day Care Home,2217,22147,2020
Group Day Care Home,1291,15479,2020
Preschool,131,2999,2020
Child Care Center,627,50717,2020
Head Start Center,47,1812,2020
School Age Programs for Children and Youth,364,32600,2020
Drop In Program for School Age Children and Youth,55,10365,2020
Child Care Resource and Referral Agency,8,0,2020
Licensed Day Care Home,1999,19982,2021
Group Day Care Home,1261,15136,2021
Preschool,123,2873,2021
Child Care Center,634,51376,2021
Head Start Center,47,1765,2021
School Age Programs for Children and Youth,375,33360,2021
Drop In Program for School Age Children and Youth,55,10365,2021
Child Care Resource and Referral Agency,8,NA,2021
Licensed Day Care Home,1870,18721,2022
Group Day Care Home,1298,21755,2022
Preschool,115,2785,2022
Child Care Center,630,51085,2022
Head Start Center,47,1870,2022
School Age Programs for Children and Youth,372,34113,2022
Drop In Program for School Age Children and Youth,57,10985,2022
Child Care Resource and Referral Agency,8,NA,2022
Licensed Day Care Home,1861,18654,2023
Group Day Care Home,1387,16685,2023
Preschool,115,2826,2023
Child Care Center,653,53079,2023
Head Start Center,47,1927,2023
School Age Programs for Children and Youth,376,34492,2023
Drop In Program for School Age Children and Youth,69,14206,2023
Child Care Resource and Referral Agency,8,NA,2023
